model number,model name,time taken to optimise (in seconds),number of partitions,partition size
3,model_with_separate_variables_3,0.0025637149810791016,500,5
4,model_with_separate_variables_4,0.002650737762451172,500,5
5,model_with_separate_variables_5,0.002465963363647461,500,5
6,model_with_separate_variables_6,0.002465963363647461,500,5
7,model_with_separate_variables_7,0.002470731735229492,500,5
8,model_with_separate_variables_8,0.002538919448852539,500,5
9,model_with_separate_variables_9,0.002607107162475586,500,5
10,model_with_separate_variables_10,0.002554178237915039,500,5
11,model_with_separate_variables_11,0.0025148391723632812,500,5
12,model_with_separate_variables_12,0.0025238990783691406,500,5
13,model_with_separate_variables_13,0.0024938583374023438,500,5
14,model_with_separate_variables_14,0.002502918243408203,500,5
15,model_with_separate_variables_15,0.0024938583374023438,500,5
16,model_with_separate_variables_16,0.002526998519897461,500,5
17,model_with_separate_variables_17,0.0025420188903808594,500,5
18,model_with_separate_variables_18,0.002535104751586914,500,5
19,model_with_separate_variables_19,0.002479076385498047,500,5
20,model_with_separate_variables_20,0.0024917125701904297,500,5
21,model_with_separate_variables_21,0.0025000572204589844,500,5
22,model_with_separate_variables_22,0.002516031265258789,500,5
23,model_with_separate_variables_23,0.0025131702423095703,500,5
24,model_with_separate_variables_24,0.0025169849395751953,500,5
0,model_with_pwl_costs_0,0.0011599063873291016,500,5
1,model_with_pwl_costs_1,0.0012121200561523438,500,5
2,model_with_pwl_costs_2,0.0011630058288574219,500,5
3,model_with_pwl_costs_3,0.0011937618255615234,500,5
4,model_with_pwl_costs_4,0.0012080669403076172,500,5
5,model_with_pwl_costs_5,0.0012240409851074219,500,5
6,model_with_pwl_costs_6,0.0012278556823730469,500,5
7,model_with_pwl_costs_7,0.0012011528015136719,500,5
8,model_with_pwl_costs_8,0.0012428760528564453,500,5
9,model_with_pwl_costs_9,0.0012428760528564453,500,5
10,model_with_pwl_costs_10,0.0012180805206298828,500,5
11,model_with_pwl_costs_11,0.0011761188507080078,500,5
12,model_with_pwl_costs_12,0.0011909008026123047,500,5
13,model_with_pwl_costs_13,0.0011780261993408203,500,5
14,model_with_pwl_costs_14,0.0012209415435791016,500,5
15,model_with_pwl_costs_15,0.001194000244140625,500,5
16,model_with_pwl_costs_16,0.0012178421020507812,500,5
17,model_with_pwl_costs_17,0.0011668205261230469,500,5
18,model_with_pwl_costs_18,0.0012080669403076172,500,5
19,model_with_pwl_costs_19,0.001209259033203125,500,5
20,model_with_pwl_costs_20,0.0011692047119140625,500,5
21,model_with_pwl_costs_21,0.0011429786682128906,500,5
22,model_with_pwl_costs_22,0.0011761188507080078,500,5
23,model_with_pwl_costs_23,0.0011441707611083984,500,5
24,model_with_pwl_costs_24,0.0011899471282958984,500,5
0,model_with_separate_variables_0,0.0003859996795654297,5,10
1,model_with_separate_variables_1,0.00011491775512695312,5,10
2,model_with_separate_variables_2,0.00010085105895996094,5,10
3,model_with_separate_variables_3,0.00010013580322265625,5,10
4,model_with_separate_variables_4,0.00010013580322265625,5,10
5,model_with_separate_variables_5,9.894371032714844e-05,5,10
6,model_with_separate_variables_6,9.918212890625e-05,5,10
7,model_with_separate_variables_7,9.918212890625e-05,5,10
8,model_with_separate_variables_8,0.00010085105895996094,5,10
9,model_with_separate_variables_9,0.00010275840759277344,5,10
10,model_with_separate_variables_10,0.00010180473327636719,5,10
11,model_with_separate_variables_11,0.00010085105895996094,5,10
12,model_with_separate_variables_12,9.703636169433594e-05,5,10
13,model_with_separate_variables_13,0.00010085105895996094,5,10
14,model_with_separate_variables_14,9.703636169433594e-05,5,10
15,model_with_separate_variables_15,9.679794311523438e-05,5,10
16,model_with_separate_variables_16,9.608268737792969e-05,5,10
17,model_with_separate_variables_17,9.703636169433594e-05,5,10
18,model_with_separate_variables_18,0.00010013580322265625,5,10
19,model_with_separate_variables_19,9.703636169433594e-05,5,10
20,model_with_separate_variables_20,9.703636169433594e-05,5,10
21,model_with_separate_variables_21,0.00014591217041015625,5,10
22,model_with_separate_variables_22,9.799003601074219e-05,5,10
23,model_with_separate_variables_23,9.703636169433594e-05,5,10
24,model_with_separate_variables_24,0.00010013580322265625,5,10
0,model_with_pwl_costs_0,0.00010704994201660156,5,10
1,model_with_pwl_costs_1,9.918212890625e-05,5,10
2,model_with_pwl_costs_2,9.608268737792969e-05,5,10
3,model_with_pwl_costs_3,9.512901306152344e-05,5,10
4,model_with_pwl_costs_4,9.512901306152344e-05,5,10
5,model_with_pwl_costs_5,9.608268737792969e-05,5,10
6,model_with_pwl_costs_6,9.489059448242188e-05,5,10
7,model_with_pwl_costs_7,9.298324584960938e-05,5,10
8,model_with_pwl_costs_8,9.322166442871094e-05,5,10
9,model_with_pwl_costs_9,9.608268737792969e-05,5,10
10,model_with_pwl_costs_10,9.584426879882812e-05,5,10
11,model_with_pwl_costs_11,9.489059448242188e-05,5,10
12,model_with_pwl_costs_12,9.322166442871094e-05,5,10
13,model_with_pwl_costs_13,9.512901306152344e-05,5,10
14,model_with_pwl_costs_14,9.012222290039062e-05,5,10
15,model_with_pwl_costs_15,9.179115295410156e-05,5,10
16,model_with_pwl_costs_16,9.202957153320312e-05,5,10
17,model_with_pwl_costs_17,9.083747863769531e-05,5,10
18,model_with_pwl_costs_18,9.703636169433594e-05,5,10
19,model_with_pwl_costs_19,9.417533874511719e-05,5,10
20,model_with_pwl_costs_20,9.322166442871094e-05,5,10
21,model_with_pwl_costs_21,9.703636169433594e-05,5,10
22,model_with_pwl_costs_22,9.489059448242188e-05,5,10
23,model_with_pwl_costs_23,9.202957153320312e-05,5,10
24,model_with_pwl_costs_24,9.489059448242188e-05,5,10
